date,points,fgp,result
2011-12-31,10,.167,W (+10)
2012-01-02,16,.455,L (-13)
2012-01-03,23,.538,L (-10)
2012-01-06,23,.727,W (+15)
2012-01-07,16,.333,W (+3)
2012-01-08,20,.545,W (+12)
2012-01-10,10,.250,W (+5)
2012-01-11,14,.300,W (+10)
2012-01-14,24,.667,W (+12)
2012-01-16,5,.250,W (+9)
2012-01-18,13,.375,L (-3)
2012-01-21,16,.556,W (+10)
2012-01-23,24,.727,W (+20)
2012-01-25,18,.800,W (+10)
2012-01-27,19,.500,W (+11)
2012-01-30,7,.200,L (-12)
2012-02-01,10,.273,W (+9)
2012-02-03,24,.615,W (+7)
2012-02-04,19,.500,L (-11)
2012-02-06,19,.500,W (+4)
2012-02-07,19,.462,W (+3)
2012-02-09,17,.455,L (-5)
2012-02-10,11,.250,W (+14)
2012-02-14,22,.667,W (+26)
2012-02-15,17,.462,L (-1)
2012-02-17,25,.615,W (+23)
2012-02-19,10,.167,W (+6)
2012-02-22,17,.600,W (+15)
2012-02-23,16,.600,W (+15)
2012-02-29,16,.444,W (+4)
2012-03-01,13,.625,W (+3)
2012-03-03,10,.500,L (-7)
2012-03-05,16,.364,W (+4)
2012-03-07,30,.667,W (+11)
2012-03-09,15,.500,L (-6)
2012-03-10,33,.688,W (+27)
2012-03-13,16,.417,L (-1)
2012-03-15,18,.545,W (+13)
2012-03-16,19,.727,L (-9)
2012-03-18,14,.143,W (+16)
2012-03-20,17,.455,L (-7)
2012-03-21,10,.375,W (+23)
2012-03-23,25,.588,W (+9)
2012-03-25,19,.857,W (+16)
2012-03-27,21,.857,W (+14)
2012-03-29,9,.273,W (+9)
2012-04-01,11,.429,W (+14)
2012-04-02,14,.556,L (-6)
2012-04-04,12,.455,L (-5)
2012-04-06,10,.200,L (-5)
2012-04-08,17,.500,W (+16)
2012-04-09,16,.571,W (+20)
2012-04-11,17,.500,L (-2)
2012-04-14,6,.091,W (+5)
2012-04-16,12,.400,L (-15)
2012-04-18,40,.706,W (+12)
2012-04-20,20,.500,W (+11)
2012-04-22,14,.714,L (-8)
2012-10-31,37,.560,W (+9)
2012-11-02,45,.737,W (+7)
2012-11-03,24,.333,L (-10)
2012-11-07,15,.333,L (-6)
2012-11-09,18,.222,L (-8)
2012-11-10,20,.429,W (+14)
2012-11-12,22,.353,L (-3)
2012-11-14,30,.500,W (+4)
2012-11-16,29,.444,L (-2)
2012-11-18,20,.389,L (-11)
2012-11-19,6,.167,L (-11)
2012-11-21,28,.571,W (+4)
2012-11-23,33,.467,W (+28)
2012-11-27,24,.474,W (+16)
2012-11-28,17,.188,L (-22)
2012-12-01,18,.438,W (+8)
2012-12-04,15,.158,W (+2)
2012-12-07,29,.625,L (-22)
2012-12-08,39,.588,L (-7)
2012-12-12,31,.500,L (-8)
2012-12-14,21,.353,W (+6)
2012-12-16,28,.389,W (+12)
2012-12-17,28,.500,L (-7)
2012-12-19,33,.583,W (+13)
2012-12-22,31,.692,W (+22)
2012-12-25,26,.538,W (+25)
2012-12-26,30,.500,W (+23)
2012-12-28,33,.455,W (+3)
2012-12-29,25,.353,L (-6)
2012-12-31,28,.412,L (-30)
2013-01-02,31,.478,W (+19)
2013-01-04,29,.611,W (+12)
2013-01-05,29,.353,W (+14)
2013-01-08,31,.579,W (+8)
2013-01-09,25,.500,W (+13)
2013-01-11,24,.474,L (-9)
2013-01-12,29,.526,L (-12)
2013-01-15,23,.400,L (-7)
2013-01-16,20,.217,L (-8)
2013-01-18,17,.263,L (-5)
2013-01-19,18,.278,L (-10)
2013-01-21,29,.250,L (-13)
2013-01-23,23,.471,W (+6)
2013-01-25,30,.533,L (-10)
2013-01-26,29,.467,W (+18)
2013-01-28,25,.533,W (+13)
2013-01-30,21,.462,W (+45)
2013-02-02,21,.545,L (-8)
2013-02-05,18,.455,W (+14)
2013-02-06,36,.625,W (+31)
2013-02-08,35,.813,L (-6)
2013-02-10,30,.500,W (+15)
2013-02-12,27,.318,L (-6)
2013-02-20,46,.737,W (+9)
2013-02-22,22,.500,L (-10)
2013-02-23,27,.435,W (+3)
2013-02-27,25,.444,W (+10)
2013-03-01,24,.389,L (-2)
2013-03-03,21,.500,L (-3)
2013-03-06,28,.294,W (+8)
2013-03-08,20,.176,W (+33)
2013-03-09,38,.647,L (-4)
2013-03-13,18,.571,W (+6)
2013-03-15,37,.500,L (-2)
2013-03-17,21,.375,W (+30)
2013-03-20,29,.357,W (+8)
2013-03-22,20,.556,L (-30)
2013-03-24,29,.375,W (+7)
2013-03-27,22,.250,W (+38)
2013-03-29,7,.333,W (+1)
2013-04-03,21,.368,L (-9)
2013-04-05,33,.524,L (-9)
2013-04-06,14,.200,W (+17)
2013-04-09,33,.429,W (+8)
2013-04-12,30,.292,W (+10)
2013-04-14,29,.688,W (+18)
2013-04-15,16,.278,L (-18)
